Upper Lat,Upper Lon,Lower Lat,Lower Lon,Energy stoage MWh per ha,GWh,h
-31.6347,151.1519,-31.6906,151.1275,80,2,6
-31.3981,151.4264,-31.3922,151.3569,29,2,6
-31.7078,151.9344,-31.6919,151.9611,37,2,6
-31.8739,151.3992,-31.8364,151.3217,66,2,6
-31.6983,151.2622,-31.7517,151.2675,52,2,6
-31.8119,151.4514,-31.8119,151.41,33,2,6
-31.9206,151.3594,-31.8964,151.3514,83,2,6
-31.4644,151.2925,-31.5369,151.3006,37,2,6
-22.0303,149.4089,-22.0358,149.4428,30,2,6
-41.3353,148.0114,-41.3081,148.0308,29,2,6
-41.3447,148.0261,-41.3678,148.0775,37,2,6
-26.8375,152.73,-26.8481,152.7672,19,2,6
-26.7611,152.7822,-26.7258,152.7714,23,2,6
-26.8378,152.6797,-26.8475,152.6283,33,2,6
-33.0139,149.9278,-33.0011,149.9658,20,2,6
-17.1822,145.6622,-17.1297,145.7044,25,2,6
-37.8044,146.2264,-37.8283,146.1958,80,2,6
-37.6606,146.5308,-37.6575,146.5658,76,2,6
-37.5583,146.4925,-37.5236,146.5089,80,2,6
-37.54,146.4769,-37.5097,146.5053,71,2,6
-37.0861,146.4208,-37.11,146.3969,95,2,6
-37.6494,146.5081,-37.6433,146.5669,95,2,6
-37.5658,146.5072,-37.5419,146.5275,83,2,6
-37.8744,146.2906,-37.8989,146.2586,80,2,6
-37.7975,146.3164,-37.8103,146.4125,50,2,6
-37.8108,146.1272,-37.8808,146.1428,54,2,6
-37.7706,146.1944,-37.8447,146.1897,44,2,6
-37.6369,146.1322,-37.6722,146.1631,62,2,6
-37.7839,146.2686,-37.7153,146.2808,46,2,6
-37.8272,146.0986,-37.8878,146.0311,58,2,6
-37.8025,146.3422,-37.7919,146.3953,46,2,6
-37.5556,146.4917,-37.5089,146.4939,68,2,6
-37.9067,146.3039,-37.9447,146.3189,37,2,6
-37.7697,146.1692,-37.8119,146.1675,14,2,6
-37.7769,146.1486,-37.8408,146.1656,51,2,6
-37.6511,146.4872,-37.6097,146.5525,83,2,6
-37.8753,146.2964,-37.9158,146.2578,57,2,6
-37.1356,146.34,-37.1053,146.3186,45,2,6
-41.6067,146.1786,-41.6064,146.1383,27,2,6
-41.6331,146.2106,-41.6069,146.2161,42,2,6
-41.4967,146.0878,-41.4817,146.1328,7,2,6
-41.6503,146.1986,-41.6275,146.2239,42,2,6
-41.6494,146.8122,-41.6111,146.855,14,2,6
-41.3864,146.0706,-41.3625,146.1417,20,2,6
-41.6331,146.7992,-41.5972,146.8317,25,2,6
-27.9758,153.1944,-27.9928,153.2236,23,2,6
-27.9514,153.1919,-27.9731,153.1547,16,2,6
-27.9386,153.1856,-27.945,153.1403,18,2,6
-29.1256,152.2719,-29.1489,152.2419,15,2,6
-29.0833,152.2661,-29.1039,152.2339,37,2,6
-29.0775,152.2689,-29.0733,152.2342,31,2,6
-29.1339,152.2831,-29.1628,152.3483,35,2,6
-29.1128,152.2925,-29.0875,152.355,29,2,6
-29.1103,152.2642,-29.1114,152.2292,47,2,6
-29.1167,152.2867,-29.1289,152.3592,37,2,6
-29.9678,152.0664,-29.9844,152.1344,39,2,6
-29.6753,152.1925,-29.7394,152.1875,44,2,6
-29.145,152.2722,-29.1817,152.2444,37,2,6
-29.0636,152.2736,-29.0836,152.2314,35,2,6
-29.8039,152.1544,-29.8003,152.1906,38,2,6
-29.0581,152.2736,-29.0547,152.3597,40,2,6
-29.1617,152.2814,-29.2067,152.2875,62,2,6
-29.0147,152.2703,-29.0094,152.3433,55,2,6
-29.1367,152.2703,-29.1581,152.2422,47,2,6
-29.7481,152.0889,-29.7169,152.1453,68,2,6
-29.8164,152.3056,-29.8403,152.3172,19,2,6
-29.1256,152.2867,-29.1783,152.3375,37,2,6
-42.9192,146.9208,-42.9769,146.9467,52,2,6
-42.8136,146.9036,-42.78,146.9547,37,2,6
-42.9236,146.9342,-42.9603,146.9525,83,2,6
-42.3436,146.8647,-42.3683,146.8089,42,2,6
-42.7944,146.7889,-42.7856,146.7644,43,2,6
-42.7547,146.7533,-42.7525,146.8067,60,2,6
-16.1422,144.9817,-16.1083,144.9594,52,2,6
-16.145,144.9869,-16.1131,144.9703,47,2,6
-16.3289,144.9992,-16.3647,144.9897,57,2,6
-16.3172,144.7667,-16.3364,144.7197,22,2,6
-16.2767,144.7508,-16.2783,144.7142,29,2,6
-16.1472,144.9656,-16.0872,144.9383,42,2,6
-21.0303,148.5814,-21.0986,148.6353,46,2,6
-21.0944,148.5319,-21.1389,148.5811,39,2,6
-21.0803,148.4686,-21.0289,148.4328,41,2,6
-21.0433,148.5753,-21.0806,148.6367,83,2,6
-21.0578,148.5753,-21.1214,148.5878,86,2,6
-21.0933,148.5069,-21.13,148.5539,60,2,6
-21.0567,148.5689,-21.1211,148.5814,83,2,6
-21.3531,148.6958,-21.2822,148.7128,38,2,6
-21.04,148.5817,-21.085,148.6419,76,2,6
-21.2306,148.555,-21.2575,148.5986,47,2,6
-21.3614,148.7158,-21.3092,148.7594,17,2,6
-21.0347,148.5975,-21.0689,148.6958,90,2,6
-21.0472,148.5775,-21.0889,148.6236,111,2,6
-21.3753,148.7236,-21.3278,148.7844,18,2,6
-21.4778,148.6972,-21.4883,148.6731,26,2,6
-21.3608,148.6953,-21.3269,148.7139,35,2,6
-21.0975,148.5122,-21.1294,148.5722,66,2,6
-21.1103,148.4992,-21.1303,148.5853,66,2,6
-21.0319,148.5936,-21.1044,148.6553,83,2,6
-21.1908,148.5242,-21.1347,148.6025,46,2,6
-21.0986,148.3728,-21.0689,148.3564,37,2,6
-21.2039,148.5239,-21.1356,148.6117,34,2,6
-21.3772,148.7342,-21.3231,148.7664,26,2,6
-21.1867,148.5578,-21.1417,148.6272,27,2,6
-21.0778,148.4681,-21.0233,148.4025,43,2,6
-22.8783,117.6794,-22.9,117.6936,25,2,6
-19.5456,146.6086,-19.5283,146.6486,31,2,6
-19.3231,146.4397,-19.3403,146.4869,32,2,6
-19.4017,146.6175,-19.3819,146.5875,28,2,6
-19.4211,146.6306,-19.3872,146.6719,48,2,6
-19.4103,146.5206,-19.3756,146.5233,23,2,6
-19.48,146.5672,-19.4761,146.6297,15,2,6
-19.3781,146.4856,-19.3331,146.5064,27,2,6
-19.3972,146.4914,-19.3456,146.4892,18,2,6
-19.6767,146.6561,-19.7103,146.6503,25,2,6
-19.6628,146.6536,-19.6814,146.6231,28,2,6
-19.4631,146.5733,-19.4642,146.6208,26,2,6
-19.4006,146.5292,-19.3611,146.5372,20,2,6
-19.4039,146.5586,-19.39,146.585,37,2,6
-19.3836,146.5006,-19.3414,146.5292,17,2,6
-19.5175,146.5858,-19.4856,146.6478,28,2,6
-19.5594,146.6133,-19.5228,146.6322,31,2,6
-19.5367,146.6,-19.4889,146.6481,27,2,6
-19.4156,146.4997,-19.3681,146.5247,16,2,6
-19.7019,146.7736,-19.7536,146.7914,24,2,6
-41.4094,147.4003,-41.4508,147.3203,52,2,6
-41.2764,147.9022,-41.2725,147.9731,32,2,6
-41.3411,147.9517,-41.3272,147.9225,18,2,6
-41.2353,147.4081,-41.2178,147.3728,25,2,6
-41.3964,147.3833,-41.3639,147.3142,18,2,6
-41.4411,147.6622,-41.4664,147.6017,18,2,6
-41.2961,147.4811,-41.2667,147.4986,24,2,6
-41.3536,147.6781,-41.2831,147.6764,35,2,6
-41.4331,147.4089,-41.4975,147.3389,45,2,6
-41.4122,147.6631,-41.4203,147.72,37,2,6
-41.3939,147.395,-41.3631,147.3333,45,2,6
-41.3456,147.6131,-41.3136,147.67,48,2,6
-41.2386,147.8469,-41.2567,147.7931,30,2,6
-41.8664,147.9019,-41.8256,147.9272,25,2,6
-41.3314,147.7786,-41.27,147.7778,25,2,6
-41.2286,147.4111,-41.1903,147.3697,32,2,6
-41.3925,147.6431,-41.3839,147.5875,26,2,6
-41.8803,147.8581,-41.8569,147.8483,50,2,6
-41.4847,147.7011,-41.4906,147.7508,27,2,6
-41.9803,147.1697,-41.9361,147.2656,34,2,6
-41.4111,147.4114,-41.4258,147.3111,52,2,6
-41.325,147.7661,-41.2747,147.7047,40,2,6
-41.2769,147.3486,-41.2286,147.3686,25,2,6
-41.3189,147.58,-41.3022,147.67,58,2,6
-41.7472,147.9342,-41.7931,147.9681,32,2,6
-41.3631,147.7817,-41.4003,147.8469,25,2,6
-41.3603,147.6444,-41.2947,147.6817,45,2,6
-41.4428,147.6128,-41.4703,147.5758,28,2,6
-41.3297,147.7661,-41.2847,147.7847,41,2,6
-41.3475,147.6906,-41.2822,147.6997,47,2,6
-41.3167,147.5775,-41.2178,147.5203,8,2,6
-41.4094,147.3989,-41.4469,147.3103,74,2,6
-41.38,147.8881,-41.4269,147.8633,21,2,6
-41.8956,147.8683,-41.8158,147.8033,24,2,6
-35.5864,149.8403,-35.6464,149.8014,23,2,6
-35.6139,149.8431,-35.6625,149.8128,28,2,6
-35.77,149.675,-35.7642,149.7661,28,2,6
-35.6103,149.7261,-35.6167,149.7867,32,2,6
-35.7486,149.5267,-35.7517,149.5625,28,2,6
-35.6306,149.7175,-35.6583,149.7411,35,2,6
-35.9897,149.0486,-35.9981,149.0939,44,2,6
-35.5131,149.9461,-35.5606,150.0317,43,2,6
-35.6044,149.7164,-35.6178,149.7828,30,2,6
-35.9725,149.0411,-35.9642,149.1283,3,2,6
-35.7622,149.6814,-35.7675,149.7892,52,2,6
-35.7397,149.6919,-35.7244,149.7586,40,2,6
-35.6406,149.7239,-35.6719,149.7564,55,2,6
-35.8261,149.5139,-35.7908,149.5606,28,2,6
-35.7542,149.6961,-35.73,149.7747,48,2,6
-35.605,149.8411,-35.6894,149.8411,40,2,6
-35.9339,149.035,-35.9222,149.0961,90,2,6
-35.7647,149.6606,-35.8228,149.7761,34,2,6
-35.6047,149.8131,-35.6217,149.8011,40,2,6
-36.5583,148.0011,-36.5525,148.0567,66,2,6
-36.61,148.0264,-36.6217,148.0672,68,2,6
-36.5875,148.5014,-36.6206,148.5481,37,2,6
-36.4122,148.7214,-36.4525,148.7392,24,2,6
-36.6106,148.4664,-36.6269,148.5556,50,2,6
-36.4411,148.0153,-36.3906,148.0364,50,2,6
-36.5072,148.0006,-36.4381,148.0725,25,2,6
-34.3164,150.0014,-34.2967,150.0331,51,2,6
-34.3169,150.0419,-34.3058,150.0658,62,2,6
-34.3325,150.0322,-34.3594,150.0464,50,2,6
-34.3994,150.0953,-34.3844,150.1136,24,2,6
-34.6175,150.5444,-34.6667,150.5556,45,2,6
-34.2333,150.0264,-34.2578,150.06,55,2,6
-34.8131,150.4961,-34.825,150.4256,25,2,6
-34.6172,150.6825,-34.5758,150.7403,25,2,6
-34.6186,150.5742,-34.6475,150.6094,37,2,6
-34.2417,150.1067,-34.2661,150.095,34,2,6
-34.3156,150.0156,-34.2686,150.0653,39,2,6
-34.4439,150.0619,-34.4311,150.0911,28,2,6
-34.6147,150.6867,-34.5964,150.7319,57,2,6
-34.63,150.5181,-34.6839,150.5483,50,2,6
-34.3839,150.0808,-34.3489,150.0767,31,2,6
-34.6558,150.5197,-34.6756,150.5261,44,2,6
-34.3178,150.0061,-34.3569,150.0333,45,2,6
-34.6339,150.4833,-34.6942,150.5439,21,2,6
-34.6503,150.6519,-34.6858,150.6167,31,2,6
-34.6303,150.5786,-34.6744,150.5972,40,2,6
